Id,eTag,Title,Subtitle,Author,Publisher,Published-Date,Description,ISBN_10,ISBN_13,PageCount,Categories,Language,Sale_Info,Saleability,isEBook,epub,pdf,Access_Info,Viewability,PublicDomain
BExLEAAAQBAJ,KK2r/ILbkSk,Medical Medium Liver Rescue,"Answers to Eczema, Psoriasis, Diabetes, Strep, Acne, Gout, Bloating, Gallstones, Adrenal Stress, Fatigue, Fatty Liver, Weight Issues, SIBO & Autoimmune Disease",Anthony William,"Hay House, Inc",2018-10-30,"The #1 New York Times best-selling author and beloved healing authority reveals how taking your liver off overload can help resolve a wide range of symptoms and conditions--and transform your health in ways you've never imagined. What if you could focus on one aspect of your well-being to transform all the others--and at the same time prevent health problems you didn't even know were lurking beneath the surface? In today's world, we have no idea how many symptoms, conditions, and diseases are rooted in an overloaded liver. It's not only about liver cancer, cirrhosis, and hepatitis. Nearly every challenge--from pesky general health complaints to digestive issues to emotional struggles to weight gain to high blood pressure to heart problems to brain fog to skin conditions to autoimmune and other chronic illnesses--has an origin in an overloaded liver and can improve and heal when you harness the force of this humble organ. Medical Medium Liver Rescue offers the answers you should have had all along. With his signature compassion, Anthony William, the Medical Medium, shares unparalleled insights into undiscovered functions of our life-saving livers, explains what's behind dozens of health issues that hold us back, and offers detailed guidance on how to move forward so we can live our best lives. Find out for yourself what liver rescue is all about: being clearer-headed, more peaceful, happier, and better able to adapt to our fast-changing times. Learn how to sleep well, balance blood sugar, lower blood pressure, lose weight, and look and feel younger. A healthy liver is the ultimate de-stressor, anti-aging ally, and safeguard against a threatening world--if we give it the right support.",1401954405,9781401954406,0,Health & Fitness,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
7OfxNAEACAAJ,37IIuWJuRqU,Wreck This Journal,"To Create Is to Destroy, Now with Even More Ways to Wreck!",Keri Smith,Particular Books,2013,"For anyone who's ever wished to, but had trouble starting, keeping, or finishing a journal or sketchbook comes 'Wreck This Journal', an illustrated book featuring a subversive collection of suggestions, asking readers to muster up their best mistake - and mess-making abilities to fill the pages of the book. Through a series of quirkily illustrated prompts, Keri Smith encourages journallers to engage in 'destructive' acts - poking holes through pages, adding photos and defacing them, painting with coffee, colouring outside the lines, and more - in order to experience the true creative process.",0141976144,9780141976143,0,Games & Activities,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
Iqq4tQEACAAJ,IV1nVTOfG/o,12 Rules for Life,An Antidote to Chaos,Jordan B. Peterson,Penguin Books Limited,2019,"What's refreshing about Peterson is his brutal common sense' Tim Stanley, Daily Telegraph `Everyone must read 12 Rules For Life, by Jordan B. Peterson. It is the most enlightening book I have read in ages. Google him if you like, if it makes you feel better. It will, by the way. His YouTube lectures are amazing for all sorts of reasons. But get the book, that is the most important thing. And then read it. And then pass it on to a friend, or even better, an enemy' Chris Evans",0141988517,9780141988511,0,Self-Help,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
BlVMYgEACAAJ,F5Subtg9K28,Gut and Psychology Syndrome,"Natural Treatment for Autism, Dyspraxia, A.D.D., Dyslexia, A.D.H.D., Depression, Schizophrenia",Natasha Campbell-McBride,Medinform Pub,2010,"Dr. Natasha Campbell-McBride set up The Cambridge Nutrition Clinic in 1998. As a parent of a child diagnosed with learning disabilities, she is acutely aware of the difficulties facing other parents like her, and she has devoted much of her time to helping these families. She realized that nutrition played a critical role in helping children and adults to overcome their disabilities, and has pioneered the use of probiotics in this field. Her willingness to share her knowledge has resulted in her contributing to many publications, as well as presenting at numerous seminars and conferences on the subjects of learning disabilities and digestive disorders. Her book Gut and Psychology Syndrome captures her experience and knowledge, incorporating her most recent work. She believes that the link between learning disabilities, the food and drink that we take, and the condition of our digestive system is absolute, and the results of her work have supported her position on this subject. In her clinic, parents discuss all aspects of their child's condition, confident in the knowledge that they are not only talking to a professional but to a parent who has lived their experience. Her deep understanding of the challenges they face puts her advice in a class of its own.",0954852028,9780954852023,392,Health & Fitness,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
9EtLEAAAQBAJ,eLtHzKNf/Lw,Medical Medium Thyroid Healing,"The Truth behind Hashimoto's, Graves', Insomnia, Hypothyroidism, Thyroid Nodules & Epstein-Barr",Anthony William,"Hay House, Inc",2017-11-07,"If you’re an avid reader of health books and articles and you think you’re aware of the latest thyroid health information, you’re going to be more than surprised—maybe even shocked—at how much more there is to know. Thyroid Healing is like nothing you have read or heard, and it will bring you true comprehension of the undiscovered inner mechanics of our thyroids for the first time ever.Experience the epic truth about your thyroid from the #1 New York Times best-selling author of the Medical Medium series!The thyroid is the new hot topic in health. Across age groups, from baby boomers and their parents to millennials and even children, more and more people—women especially—are hearing that their thyroids are to blame for their fatigue, weight gain, brain fog, memory issues, aches and pains, tingles and numbness, insomnia, hair loss, hot flashes, sensitivity to cold, constipation, bloating, anxiety, depression, heart palpitations, loss of libido, restless legs, and more. Everyone wants to know how to free themselves from the thyroid trap.As the thyroid has gotten more and more attention, though, these symptoms haven’t gone away—people aren’t healing. Labeling someone with ""Hashimoto’s,"" ""hypothyroidism,"" or the like doesn’t explain the myriad health issues that person may experience. That’s because there’s a pivotal truth that goes by unnoticed: A thyroid problem is not the ultimate reason for a person’s illness. A problematic thyroid is yet one more symptom of something much larger than this one small gland in the neck. It’s something much more pervasive in the body, something invasive, that’s responsible for the laundry list of symptoms and conditions attributed to thyroid disease.In Medical Medium Thyroid Healing, Anthony William, the Medical Medium, reveals an entirely new take on the epidemic of thyroid illness. Empowering readers to become their own thyroid experts, he explains in detail what the source problem really is, including what’s going on with inflammation, autoimmune disease, and dozens more symptoms and conditions, then offers a life-changing toolkit and many new recipes to rescue the thyroid and bring readers back to health and vitality. It’s an approach unlike any other, and as his millions of fans and followers will tell you, it’s the approach that gets results.MORE on BOOK 3 of the MEDICAL MEDIUM SERIES:If you’ve struggled with any chronic health issue, you’re not alone—you are one among millions confronting the mysterious symptoms that medical communities have begun to connect with thyroid illness. Like so many, you want the greater truth about the thyroid.We’ve already waited 100-plus years for real insights from medical communities into thyroid problems, and they haven’t come. Even the most recent expert opinions don’t yet have a handle on what’s really behind your suffering. Hashimoto’s is not the body attacking itself. There’s more to thyroid cancer than we’re being told. You’re not hopeless if you don’t have a thyroid anymore. Thyroid illness should not be blamed on your genes. Today’s thyroid diagnoses do not explain your years of suffering with mystery symptoms.You shouldn’t have to wait another 10, 20, 30, or more years for scientific research to find the real answers. If you’re stuck in bed, dragging through your days, or feeling lost about your health, you shouldn’t have to go through one more day of it, let alone another decade. You shouldn’t have to watch your children go through it, either.The meaning behind today’s widespread thyroid illness is so much bigger than anyone has yet discovered—what you’re about to read is unlike any information you’ve ever seen. It’s time for you to take control and become a true thyroid expert. Discover the real reasons and the healing path for dozens of symptoms and conditions, including: •ACHES AND PAINS •ANXIETY AND DEPRESSION •AUTOIMMUNE DISEASE •BRAIN FOG AND FOCUS •CANCER •EPSTEIN-BARR VIRUS •PREGNANCY COMPLICATIONS •FATIGUE •MONONUCLEOSIS •FIBROMYALGIA AND CFS •HAIR THINNING AND LOSS •HASHIMOTO’S THYROIDITIS •HEADACHES AND MIGRAINES •HEART PALPITATIONS •VERTIGO •HYPERTHYROIDISM •HYPOTHYROIDISM •MENOPAUSAL SYMPTOMS •MYSTERY WEIGHT GAIN •SLEEP DISORDERS •TINGLES AND NUMBNESS""Since reading Medical Medium Thyroid Healing, I have expanded my approach and treatments of thyroid disease and am seeing enormous value for patients. The results are rewarding and gratifying.""— from the foreword by Prudence Hall, M.D., founder and medical director of The Hall Center",1401948367,9781401948368,0,Health & Fitness,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
NVZuUSJtpcQC,NAT26BkoiRs,Steal Like an Artist,10 Things Nobody Told You About Being Creative,Austin Kleon,Workman Publishing,2012-02-28,"You don’t need to be a genius, you just need to be yourself. That’s the message from Austin Kleon, a young writer and artist who knows that creativity is everywhere, creativity is for everyone. A manifesto for the digital age, Steal Like an Artist is a guide whose positive message, graphic look and illustrations, exercises, and examples will put readers directly in touch with their artistic side. When Mr. Kleon was asked to address college students in upstate New York, he shaped his speech around the ten things he wished someone had told him when he was starting out. The talk went viral, and its author dug deeper into his own ideas to create Steal Like an Artist, the book. The result is inspiring, hip, original, practical, and entertaining. And filled with new truths about creativity: Nothing is original, so embrace influence, collect ideas, and remix and re-imagine to discover your own path. Follow your interests wherever they take you. Stay smart, stay out of debt, and risk being boring—the creative you will need to make room to be wild and daring in your imagination.",0761169253,9780761169253,161,Self-Help,en,VN,NOT_FOR_SALE,False,False,True,VN,NO_PAGES,False
J71vDwAAQBAJ,jbb91LPiE4k,Sitting Still Like a Frog,Mindfulness Exercises for Kids (and Their Parents),Eline Snel,Shambhala Publications,2013-12-03,"Simple mindfulness practices to help your child (ages 5-12) deal with anxiety, improve concentration, and handle difficult emotions—with a 60-minute audio CD of guided exercises Mindfulness—the quality of attention that combines full awareness with acceptance of each moment, just as it is—is gaining broad acceptance among mental health professionals as an adjunct to treatment. This little book is a very appealing introduction to mindfulness meditation for children and their parents. In a simple and accessible way, it describes what mindfulness is and how mindfulness-based practices can help children calm down, become more focused, fall asleep more easily, alleviate worry, manage anger, and generally become more patient and aware. The book contains eleven practices that focus on just these scenarios, along with short examples and anecdotes throughout. Included with purchase is an audio CD with guided meditations, voiced by Myla Kabat-Zinn, who along with her husband, Jon Kabat-Zinn, popularized mindfulness-based stress reduction (MBSR) as a therapeutic approach. Continue your mindfulness practice with Eline Snel through her other mindfulness meditation titles, including Sitting Still Like a Frog Activity Book, which offers 75 fun mindfulness games and activities for children, and The Little Frog Awakes, which offers tools and advice for mindfully responding to younger children ages 18 months to 4 years.",1611800587,9781611800586,125,Family & Relationships,en,VN,NOT_FOR_SALE,False,False,True,VN,PARTIAL,False
aZwgtAEACAAJ,7+p36Cxfv8Y,How Not to Die,Discover the Foods Scientifically Proven to Prevent and Reverse Disease,"Michael Greger, Gene Stone",Pan,2017-12-27,"Why rely on drugs and surgery to cure you of life-threatening disease when the right decisions can prevent you from falling ill to begin with? 'How Not To Die' gives effective, scientifically-proven nutritional advice to prevent our biggest killers - heart disease, breast cancer, prostate cancer, high blood pressure, diabetes - and reveals the astounding health benefits that simple dietary choices can provide.",1509852506,9781509852505,658,Medical,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
d2WNugAACAAJ,GIqZVk3Bwxw,The Whole-Brain Child,12 Proven Strategies to Nurture Your Child's Developing Mind,"Tina Payne Bryson, Daniel J. Siegel",Robinson Publishing,2012-08,"Guidance on developing and using all parts of a child's brain to engage, connect, and learn control of conflict and emotions.",1780338376,9781780338378,0,Child development,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
TayDmaXRzbgC,N+qf+KkTmjo,Juju Sundin's Birth Skills,Proven Pain-management Techniques for Your Labour and Birth,"Juju Sundin, Sarah Murdoch",Random House,2008,"Concentrates on helping parents manage the pain of childbirth - from the first contraction, throughout the labour to the actual birth itself. This book tells how the body works in labour and clearly explains how movement, breathing, vocalisation, visualisation and other techniques can be used to alleviate pain.",0091922143,9780091922146,306,Childbirth,en,VN,NOT_FOR_SALE,False,False,True,VN,NO_PAGES,False
fYGPEAAAQBAJ,5oeoe7TLqsI,Medical Medium Celery Juice,The Most Powerful Medicine of Our Time Healing Millions Worldwide,Anthony William,National Geographic Books,2019-05-21,"Celery juice is everywhere for a reason: because it's saving lives as it restores people's health one symptom at a time. From celebrities posting about their daily celery juice routines to people from all walks of life sharing pictures and testimonials of their dramatic recovery stories, celery juice is revealing itself to ignite healing when all odds seem against it. What began decades ago as a quiet movement has become a global healing revolution. In Celery Juice: The Most Powerful Medicine of Our Time Healing Millions Worldwide, Anthony William, the originator of the global celery juice movement, introduces you to celery juice's incredible ability to create sweeping improvements on every level of our health: Healing the gut and relieving digestive disorders Balancing blood sugar, blood pressure, weight, and adrenal function Neutralizing and flushing toxins from the liver and brain Restoring health in people who suffer from a vast range of chronic and mystery illnesses and symptoms, among them fatigue, brain fog, acne, eczema, addiction, ADHD, thyroid disorders, diabetes, SIBO, eating disorders, autoimmune disorders, Lyme disease, and eye problems After revealing exactly how celery juice does its anti-inflammatory, alkalizing, life-changing work to provide these benefits and many more, he gives you the powerful, definitive guidelines to do your own celery juice cleanse correctly and successfully. You'll get instructions on how to make the juice, how much to drink, when to drink it, and what to expect as your body begins to detox, plus answers to FAQs such as ""Is it safe to drink celery juice while pregnant or breastfeeding?"", ""Is blending better than juicing?"", and ""Can I take my medications with it?"" Here is everything you need to know--from the original source--to receive the full gift of what Anthony calls ""one of the greatest healing tonics of all time.""",140195765X,9781401957650,0,Health & Fitness,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
_p5RvgAACAAJ,wHReWbSW2tk,The Book You Wish Your Parents Had Read (and Your Children Will be Glad that You Did),,Philippa Perry,Penguin UK,2019,"Philippa Perry tells us what really matters and what behaviour it is important to avoid - the vital dos and don'ts of parenting. Instead of mapping out the 'perfect' plan, Perry offers a bigpicture look at the elements that lead to good parent-child relationships",0241250994,9780241250990,0,Child psychology,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
-1lTvZ87asMC,X6H1/hodlL4,Proof of Heaven,A Neurosurgeon's Journey Into the Afterlife,Eben Alexander,Simon and Schuster,2012-10-23,"Shares an account of his religiously transformative near-death experience and revealing week-long coma, describing his scientific study of near-death phenomena while explaining what he learned about the nature of human consciousness.",1451695195,9781451695199,256,Medical,en,VN,NOT_FOR_SALE,False,False,False,VN,PARTIAL,False
q1JScAAACAAJ,kuZ6/XB42N4,The Immortal Life of Henrietta Lacks,,Rebecca Skloot,Pan Publishing,2011,"Her name was Henrietta Lacks, but scientists know her as HeLa. Born a poor black tobacco farmer, her cancer cells - taken without her knowledge - became a multimillion-dollar industry and one of the most important tools in medicine. Yet Henrietta's family did not learn of her 'immortality' until more than twenty years after her death, with devastating consequences . . . Rebecca Skloot's fascinating account is the story of the life, and afterlife, of one woman who changed the medical world forever. Balancing the beauty and drama of scientific discovery with dark questions about who owns the stuff our bodies are made of, The Immortal Life of Henrietta Lacks is an extraordinary journey in search of the soul and story of a real woman, whose cells live on today in all four corners of the world.",0330533444,9780330533447,0,African American women,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
EaDdwAEACAAJ,CnJ0ohh3we8,The Checklist Manifesto,How to Get Things Right,Atul Gawande,Profile Books(GB),2011,"Today we find ourselves in possession of stupendous know-how, which we willingly place in the hands of the most highly skilled people. But avoidable failures are common, and the reason is simple: the volume and complexity of our knowledge has exceeded our ability to consistently deliver it - correctly, safely or efficiently. In this groundbreaking book, Atul Gawande makes a compelling argument for the checklist, which he believes to be the most promising method available in surmounting failure. Whether you're following a recipe, investing millions of dollars in a company or building a skyscraper, the checklist is an essential tool in virtually every area of our lives, and Gawande explains how breaking down complex, high pressure tasks into small steps can radically improve everything from airline safety to heart surgery survival rates. Fascinating and enlightening, The Checklist Manifesto shows how the simplest of ideas could transform how we operate in almost any field.",1846683149,9781846683145,209,Self-Help,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
OC_hnQEACAAJ,S046q1wd9SE,Do No Harm,"Stories of Life, Death and Brain Surgery",Henry Marsh,Weidenfeld and Nicholson,2014,"What is it really like to be a brain surgeon, to hold someone's life in your hands, to drill down into the stuff that creates thought, feeling and reason? How do you live with the consequences of performing a potentially life-saving operation when it all goes wrong? In this powerful, gripping and brutally honest account, one of the country's top neurosurgeons reveals what it is to play god in the face of the life-and-death situations he encounters daily. Henry Marsh gives a rare insight into the intense drama of the operating theatre, the chaos and confusion of a modern hospital, the exquisite complexity of the human brain, and the blunt instrument that is surgeon's knife by comparison.",178022592X,9781780225920,0,Biography & Autobiography,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
2_F7MAEACAAJ,pzNUzGD/7Rk,The Anatomy Coloring Book,,"Wynn Kapit, Lawrence M. Elson",,2014,"Why use this coloring book? For more than 35 years, The Anatomy Coloring Book has been the #1 best-selling human anatomy coloring book! A useful tool for anyone with an interest in learning anatomical structures, this concisely written text features precise, extraordinary hand-drawn figures that were crafted especially for easy coloring and interactive study. Organized according to body systems, each of the 162 two-page spreads featured in this book includes an ingenious color-key system where anatomical terminology is linked to detailed illustrations of the structures of the body. When you color to learn with The Anatomy Coloring Book, you make visual associations with key terminology, and assimilate information while engaging in kinesthetic learning. Studying anatomy is made easy and fun! The Fourth Edition features user-friendly two-page spreads with enlarged art, clearer, more concise text descriptions, and new boldface headings that make this classic coloring book accessible to a wider range of learners.",0321832019,9780321832016,0,Games & Activities,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
C7yWDAEACAAJ,rKoeswwHYKg,The Plant Paradox,"The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain","Dr. Steven R. Gundry, M.D.",Harper Wave,2017-04-25,"""I read this book... it worked. My autoimmune disease is gone and I'm 37 pounds lighter in my pleather."" --Kelly Clarkson Most of us have heard of gluten—a protein found in wheat that causes widespread inflammation in the body. Americans spend billions of dollars on gluten-free diets in an effort to protect their health. But what if we’ve been missing the root of the problem? In The Plant Paradox, renowned cardiologist Dr. Steven Gundry reveals that gluten is just one variety of a common, and highly toxic, plant-based protein called lectin. Lectins are found not only in grains like wheat but also in the “gluten-free” foods most of us commonly regard as healthy, including many fruits, vegetables, nuts, beans, and conventional dairy products. These proteins, which are found in the seeds, grains, skins, rinds, and leaves of plants, are designed by nature to protect them from predators (including humans). Once ingested, they incite a kind of chemical warfare in our bodies, causing inflammatory reactions that can lead to weight gain and serious health conditions. At his waitlist-only clinics in California, Dr. Gundry has successfully treated tens of thousands of patients suffering from autoimmune disorders, diabetes, leaky gut syndrome, heart disease, and neurodegenerative diseases with a protocol that detoxes the cells, repairs the gut, and nourishes the body. Now, in The Plant Paradox, he shares this clinically proven program with readers around the world. The simple (and daunting) fact is, lectins are everywhere. Thankfully, Dr. Gundry offers simple hacks we easily can employ to avoid them, including: Peel your veggies. Most of the lectins are contained in the skin and seeds of plants; simply peeling and de-seeding vegetables (like tomatoes and peppers) reduces their lectin content. Shop for fruit in season. Fruit contain fewer lectins when ripe, so eating apples, berries, and other lectin-containing fruits at the peak of ripeness helps minimize your lectin consumption. Swap your brown rice for white. Whole grains and seeds with hard outer coatings are designed by nature to cause digestive distress—and are full of lectins. With a full list of lectin-containing foods and simple substitutes for each, a step-by-step detox and eating plan, and delicious lectin-free recipes, The Plant Paradox illuminates the hidden dangers lurking in your salad bowl—and shows you how to eat whole foods in a whole new way.",006242713X,9780062427137,416,Health & Fitness,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
nDL8oAEACAAJ,Tcp6uXaKSGk,Wreck This Journal Everywhere,,Keri Smith,Penguin Classics,2014,"Featuring dozens of new activities as well as some of the most popular prompts from the original, Wreck This Journal Everywhere will have you travelling the city streets and country byways, filling the pages with man-made and natural objects, recording what you see, drawing, doodling - and destroying pages as you go. Perfect for sliding in your pocket or stuffing in your bag, Wreck This Journal Everywhere is the ideal creative companion",1846148588,9781846148583,0,Games & Activities,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
UfG1uwEACAAJ,ND0za+KG0dQ,How to Change Your Mind,The New Science of Psychedelics,Michael Pollan,Penguin Books Limited,2019,"When LSD was first discovered in the 1940s, it seemed to researchers, scientists and doctors as if the world might be on the cusp of psychological revolution. It promised to shed light on the deep mysteries of consciousness, as well as offer relief to addicts and the mentally ill. But in the 1960s, with the vicious backlash against the counter-culture, all further research was banned. In recent years, however, work has quietly begun again on the amazing potential of LSD, psilocybin and DMT. Could these drugs in fact improve the lives of many people? Diving deep into this extraordinary world and putting himself forward as a guinea-pig, Michael Pollan has written a remarkable history of psychedelics and a compelling portrait of the new generation of scientists fascinated by the implications of these drugs. How to Change Your Mind is a report from what could very well be the future of human consciousness.",0141985135,9780141985138,0,History,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
ovawL4cGhJ0C,ElE0xT+ZdHg,Raising An Emotionally Intelligent Child,,"John Mordechai Gottman, John Gottman, Joan Declaire",Simon and Schuster,1998-08-12,Discusses a five-step program for parents to use when teaching their children to acknowledge and master their emotions.,0684838656,9780684838656,246,Family & Relationships,en,VN,NOT_FOR_SALE,False,False,False,VN,PARTIAL,False
LJQLswEACAAJ,I1KlbUd+Abc,Easy Way to Stop Smoking,Do Not Stop Smoking Until You've Read This Book,Allen Carr,Michael Joseph,2015-09-24,"This book explains in common-sense language how to free yourself from the 'nicotine trap' without having to use willpower, without gaining weight and without any withdrawal pangs.",1405923318,9781405923316,0,Self-Help,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
uE-HjrA2yJIC,QQVIeb46Gjw,The Mindful Way Through Depression,Freeing Yourself from Chronic Unhappiness,"John D. Teasdale, Zindel V. Segal",Guilford Press,2007-06-02,"Drawing on the collective wisdom of four mindfulness experts, this volume offers effective relief from the most prevalent psychological disorder: clinical depression.",1593851286,9781593851286,289,Self-Help,en,VN,NOT_FOR_SALE,False,False,False,VN,PARTIAL,False
KmdpHwAACAAJ,M7q+HvS8Z0I,Call the Midwife,A True Story of the East End in the 1950s,Jennifer Worth,,2008,A fascinating slice of social history - Jennifer Worth's tales of being a midwife in 1950s London.,0753823837,9780753823835,0,Childbirth,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
